id,flag,spacecraft,time_start,time_mag_obstacle_start,time_end,pt_max,pt_max_sheath,b_max,b_max_sheath,v_max,v_max_sheath,delta_v,groups,comment
2||STEREO-B|2006-12-14 14:12:00|2006-12-14 23:04:00|2006-12-15 14:08:00|||18|20|||||plasma data data gap, like Group 3 event
2||STEREO-B|2007-01-14 12:24:00|2007-01-14 13:59:00|2007-01-15 07:37:00|||14.8||||||plasma data data gap, like Group 1 event
4||STEREO-B|2007-05-22 04:20:00|2007-05-22 04:20:00|2007-05-22 22:00:00|135||17.5||480||-60|1|STEREO B: higher Ptmax, shorter. At both A & B, followed by fast stream
7||STEREO-B|2007-10-23 10:35:00|2007-10-23 16:50:00|2007-10-24 00:07:00|50|125|10.3|10.6|395|420|-35|2|not nice B rotations, slow, low beta, followed by a stream interaction region (SIR)
8|*|STEREO-B|2007-11-19 22:50:00|2007-11-19 22:50:00|2007-11-20 06:56:00|225||15.2||485||-80|-1|low beta, some B rotations, but not coherent, embedded within an SIR, near a HCS, no prominent BDE, the forward shock occurred 9 hours earlier may be attributed by the combined force of the ICME and SIR
9||STEREO-B|2007-12-30 02:00:00|2007-12-30 07:00:00|2008-01-01 05:50:00|120||12||365|378|-85|1|fuzzy plasma data, slow, nice field rotations, left-handed flux rope
7||STEREO-B|2008-02-05 20:37:00|2008-02-05 20:37:00|2008-02-07 10:50:00|100||13||385||-75|-1|Pt irregular, B not quiet, but there are BDE and field rotations, has candidate CME, near HCS
8||STEREO-B|2008-03-06 12:35:00|2008-03-06 12:35:00|2008-03-06 17:03:00|233||17||400||0|2|Vp almost constant, beta ~ 0.6, no BDE, followed by a fast stream
9||STEREO-B|2008-04-29 14:10:00|2008-04-29 15:34:00|2008-04-30 07:00:00|220||13|14|490||90|1|BDE for the later part, strong forward shock, Vp almost remains constant, HCS at the leading edge
10||STEREO-B|2008-05-15 23:00:00|2008-05-15 23:00:00|2008-05-16 18:00:00|13||3.7||500||-110|-1|no Pt increase, extremely low Pt, nice field rotation, with BDE
11||STEREO-B|2008-06-06 15:36:00|2008-06-06 22:15:00|2008-06-07 12:32:00|120|200|14.8||430||-52|2|followed by a faster speed stream, Pt profile irregular, has a concave, very low beta
12||STEREO-B|2008-08-15 12:00:00|2008-08-15 12:00:00|2008-08-15 22:00:00|60||9.2||365||0|2|nice flux rope, very slow solar wind, followed by a fast stream, near HCS
13||STEREO-B|2008-10-19 01:02:00|2008-10-19 01:02:00|2008-10-20 11:32:00|73||9||372||-87|2|very slow, 8-hr plasma data gap at the leading part, nice field rotation, BDE, no good CME candidate
14||STEREO-B|2008-12-31 02:00:00|2008-12-31 02:00:00|2009-01-01 07:20:00|60||9||460||-90|-1|nice MC, clear BDE, big data gap of Np, Tp, and Pt
10||STEREO-B|2009-01-13 05:22:00|2009-01-13 05:22:00|2009-01-13 22:00:00|70||11.5||400||-40|-1|good CME candidate from STA SCCHI, big data gap of Np, Tp, and Pt
11||STEREO-B|2009-06-19 00:24:00|2009-06-19 07:40:00|2009-06-20 10:00:00|60|120|11.3||380||-115|2|relatively large-scale rotation of B in the sheath region. The region of 170 07:40 - 11:30 has a stronger B, possibly due to another CME. 2 CME candidates seen by STA on 6/13 and 6/14
12||STEREO-B|2009-07-16 17:08:00|2009-07-16 17:08:00|2009-07-17 17:00:00|120||9.4||330||-50|2|BDE for part of 07/16, Pt is higher at the trailing part due to the compression of the upcoming faster solar wind. STA SECCHI detected CME candidate on 07/13, which is unlikely because the solar wind is slow
13||STEREO-B|2009-07-31 02:16:00|2009-07-31 02:16:00|2009-07-31 10:54:00|58||10.2||460||-80|2|short, no clear CME candidate, low Tp and beta, the direction of suprathermal electrons is different from ambient
